Company Code,Ledger,Posting Period
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
0147,Z6,1
7240,Z1,1
0072,Z1,1
7600,Z6,1
0009,Z1,1
0123,Z6,1
0048,Z1,1
0126,Z1,1
8660,Z6,1
0684,Z1,1
