Sales Doc,Order_Type,Line_Item_Count
7510526383,ZCDM,1
7510526762,ZCDM,1
7510526529,ZCDM,1
7510526605,ZCDM,1
7510526664,ZCDM,1
7510526301,ZCDM,1
7510526496,ZCDM,1
7510027974,ZCDM,1
7510028484,ZCDM,1
7510028901,ZCDM,1
7510029359,ZCDM,1
7510029452,ZCDM,1
7510029453,ZCDM,1
7510029454,ZCDM,1
7100150505,ZPBC,1
7100151197,ZPBC,1
7100150506,ZPBC,1
7100150940,ZPBC,1
7100151050,ZPBC,1
7100150941,ZPBC,1
7100150975,ZPBC,1
7100151033,ZPBC,1
7100151158,ZPBC,1
7100053252,ZPBC,1
7100053450,ZPBC,1
7100100357,ZPBC,1
7100100462,ZPBC,1
7100103576,ZPBC,1
7100108787,ZPBC,1
7100109662,ZPBC,1
7100109799,ZPBC,1
7100110035,ZPBC,1
7510526777,ZCDM,1
7510526778,ZCDM,1
7510526782,ZCDM,1
7510526226,ZCDM,1
7510526783,ZCDM,1
7510526787,ZCDM,1
7510526773,ZCDM,1
7510526784,ZCDM,1
7510526774,ZCDM,1
7510526739,ZCDM,1
7510526785,ZCDM,1
7510526779,ZCDM,1
7510526740,ZCDM,1
7510526763,ZCDM,1
