Sales Doc,Order_Type,Line_Item_Count
7510659240,ZCDM,
7510659245,ZCDM,
7510659218,ZCDM,
7510659250,ZCDM,
7510659246,ZCDM,
7510659255,ZCDM,
7510659260,ZCDM,
7510659265,ZCDM,
7510659191,ZCDM,
7510659270,ZCDM,
7510659196,ZCDM,
7510659275,ZCDM,
7510659117,ZCDM,
7510659280,ZCDM,
7510659285,ZCDM,
7510659237,ZCDM,
7510659219,ZCDM,
7510659290,ZCDM,
7510659276,ZCDM,
7510659247,ZCDM,
7510659146,ZCDM,
7510659248,ZCDM,
7510659147,ZCDM,
7510659148,ZCDM,
7510659291,ZCDM,
7510659295,ZCDM,
7510659172,ZCDM,
7510659296,ZCDM,
7510659300,ZCDM,
7510659305,ZCDM,
7510659292,ZCDM,
7510659281,ZCDM,
7510659306,ZCDM,
7510659161,ZCDM,
7510659310,ZCDM,
7510659315,ZCDM,
7510659162,ZCDM,
7510659320,ZCDM,
7510659211,ZCDM,
7510659321,ZCDM,
7510659197,ZCDM,
7510659322,ZCDM,
7510659249,ZCDM,
7510659198,ZCDM,
7510659121,ZCDM,
7510659122,ZCDM,
7510659307,ZCDM,
7510659123,ZCDM,
7510659199,ZCDM,
7510659325,ZCDM,
7510659330,ZCDM,
7510659124,ZCDM,
7510659331,ZCDM,
7510659326,ZCDM,
7510659327,ZCDM,
7510659332,ZCDM,
7510659335,ZCDM,
7510659333,ZCDM,
7510659241,ZCDM,
7510659212,ZCDM,
7510659213,ZCDM,
7510659340,ZCDM,
7510659242,ZCDM,
7510659345,ZCDM,
7510659341,ZCDM,
7510659328,ZCDM,
7510659243,ZCDM,
7510659244,ZCDM,
7510659308,ZCDM,
7510659350,ZCDM,
7510659351,ZCDM,
7510659309,ZCDM,
7510659311,ZCDM,
7510659355,ZCDM,
7510659346,ZCDM,
7510659360,ZCDM,
7510659361,ZCDM,
7510659312,ZCDM,
7510659362,ZCDM,
7510659365,ZCDM,
7510659370,ZCDM,
7510659375,ZCDM,
7510659347,ZCDM,
7510659380,ZCDM,
7510659356,ZCDM,
7510659376,ZCDM,
7510659313,ZCDM,
